frame_id,timestamp,object_id,speed_kmph,x1,y1,x2,y2
253,8.43,5,0.0,203,180,302,280
253,8.43,7,0.0,202,180,303,280
254,8.47,7,0.0,205,180,308,284
254,8.47,5,0.0,204,180,308,283
255,8.5,5,0.0,206,181,315,290
255,8.5,7,0.0,205,180,316,290
256,8.53,7,0.0,208,182,322,295
256,8.53,5,0.0,207,182,323,296
258,8.6,5,0.0,215,185,336,306
259,8.63,7,0.0,218,187,344,312
260,8.67,5,0.0,221,189,353,320
261,8.7,2,26.0,225,191,362,327
262,8.73,2,26.0,228,193,372,336
263,8.77,2,26.0,231,194,383,344
264,8.8,2,26.0,234,195,395,353
265,8.83,2,26.0,240,197,406,358
266,8.87,2,26.0,248,200,415,360
278,9.27,2,26.0,335,239,590,357
279,9.3,2,26.0,356,243,605,357
280,9.33,7,0.0,374,249,612,358
281,9.37,2,26.0,389,254,616,357
308,10.27,2,26.0,352,154,387,173
309,10.3,2,26.0,351,153,387,173
310,10.33,2,26.0,349,153,387,172
327,10.9,2,26.0,189,214,201,241
328,10.93,2,26.0,189,214,203,245
329,10.97,3,0.0,191,217,204,247
330,11.0,3,0.0,193,221,207,252
331,11.03,3,0.0,193,221,208,255
332,11.07,3,0.0,195,224,210,257
333,11.1,3,0.0,197,228,212,261
333,11.1,2,26.0,196,148,217,164
334,11.13,3,0.0,198,229,215,264
334,11.13,2,26.0,197,148,217,164
335,11.17,3,0.0,201,233,217,267
335,11.17,2,26.0,197,148,217,164
336,11.2,3,0.0,205,237,219,267
336,11.2,2,26.0,198,148,218,164
337,11.23,2,26.0,198,148,219,165
338,11.27,2,26.0,200,149,220,165
339,11.3,2,26.0,201,150,221,166
340,11.33,2,26.0,201,150,222,166
341,11.37,2,26.0,202,150,224,167
342,11.4,2,26.0,204,150,225,167
343,11.43,2,26.0,206,152,225,167
344,11.47,2,26.0,206,151,227,168
344,11.47,3,0.0,322,289,380,349
345,11.5,2,26.0,208,151,228,168
346,11.53,2,26.0,209,152,229,169
347,11.57,2,26.0,210,152,230,169
348,11.6,2,26.0,210,152,231,169
348,11.6,3,0.0,227,215,243,235
348,11.6,3,0.0,359,309,416,358
349,11.63,2,26.0,211,153,232,170
349,11.63,3,0.0,228,214,247,239
349,11.63,3,0.0,371,314,424,359
350,11.67,2,26.0,213,153,234,171
350,11.67,3,0.0,230,218,248,241
351,11.7,2,26.0,214,153,234,171
351,11.7,3,0.0,234,221,251,243
352,11.73,2,26.0,215,154,235,172
352,11.73,3,0.0,237,224,253,245
353,11.77,2,26.0,216,154,237,172
353,11.77,3,0.0,238,224,257,248
354,11.8,2,26.0,216,153,238,173
354,11.8,3,0.0,240,226,259,250
355,11.83,2,26.0,216,153,238,173
355,11.83,3,0.0,241,227,261,253
356,11.87,2,26.0,217,153,240,174
356,11.87,3,0.0,242,226,265,256
357,11.9,2,26.0,218,153,241,174
357,11.9,3,0.0,244,226,267,256
358,11.93,2,26.0,218,153,242,175
358,11.93,3,0.0,243,218,272,256
359,11.97,2,26.0,219,153,244,175
359,11.97,3,0.0,245,218,277,261
360,12.0,2,26.0,219,153,245,176
360,12.0,3,0.0,251,228,280,266
361,12.03,2,26.0,221,154,246,177
361,12.03,3,0.0,255,232,281,264
362,12.07,2,26.0,222,154,248,178
362,12.07,3,0.0,258,231,286,266
363,12.1,2,26.0,222,154,249,178
363,12.1,3,0.0,264,239,290,271
364,12.13,2,26.0,222,153,250,178
364,12.13,3,0.0,268,244,295,279
365,12.17,2,26.0,222,152,252,179
365,12.17,3,0.0,273,247,300,280
366,12.2,2,26.0,222,152,253,179
366,12.2,3,0.0,278,250,303,281
367,12.23,2,26.0,223,152,255,181
367,12.23,3,0.0,282,255,310,289
368,12.27,2,26.0,227,154,258,181
368,12.27,3,0.0,287,259,317,296
369,12.3,2,26.0,227,154,259,182
370,12.33,2,26.0,233,156,262,182
371,12.37,2,26.0,235,156,265,183
372,12.4,2,26.0,237,157,267,184
372,12.4,2,26.0,225,156,268,183
373,12.43,2,26.0,238,156,269,184
373,12.43,2,26.0,224,153,272,184
374,12.47,2,26.0,240,157,271,185
374,12.47,2,26.0,227,155,273,184
375,12.5,2,26.0,242,158,273,186
375,12.5,2,26.0,230,157,273,184
376,12.53,2,26.0,243,159,275,187
377,12.57,2,26.0,246,159,277,188
377,12.57,2,26.0,234,158,278,186
378,12.6,2,26.0,248,160,281,189
378,12.6,2,26.0,235,158,283,188
379,12.63,2,26.0,250,160,283,190
379,12.63,2,26.0,237,159,284,189
380,12.67,2,26.0,251,160,285,191
380,12.67,2,26.0,237,158,286,190
381,12.7,2,26.0,254,161,287,191
381,12.7,2,26.0,239,159,289,192
382,12.73,2,26.0,255,161,291,193
382,12.73,2,26.0,238,158,292,194
383,12.77,2,26.0,257,161,293,194
383,12.77,2,26.0,240,156,293,192
384,12.8,2,26.0,259,162,296,195
384,12.8,2,26.0,243,158,294,191
385,12.83,2,26.0,262,162,299,196
385,12.83,2,26.0,246,160,298,195
386,12.87,2,26.0,264,162,301,197
386,12.87,2,26.0,247,160,302,196
387,12.9,2,26.0,267,163,304,197
387,12.9,7,0.0,235,149,306,197
388,12.93,2,26.0,269,163,306,197
388,12.93,2,26.0,240,152,307,197
389,12.97,2,26.0,271,164,310,200
389,12.97,7,0.0,236,146,314,200
390,13.0,2,26.0,274,164,312,198
391,13.03,2,26.0,279,165,315,198
393,13.1,7,0.0,242,144,329,204
394,13.13,7,0.0,245,144,332,205
394,13.13,2,26.0,286,167,329,206
395,13.17,7,0.0,251,142,333,199
395,13.17,2,26.0,282,167,330,208
396,13.2,7,0.0,249,141,341,207
396,13.2,2,26.0,281,167,332,210
397,13.23,7,0.0,255,147,342,209
397,13.23,7,0.0,281,167,334,211
398,13.27,7,0.0,254,144,348,212
398,13.27,7,0.0,292,169,344,213
399,13.3,7,0.0,255,143,353,214
399,13.3,7,0.0,280,167,340,214
